,0,1,2,3,4,5,6,7,8,9,10
10,규제/정책,"파월, 9월 또 '자이언트스텝' 가능성 시사…美 경기침체 아냐",[속보] 연준 “최근 소비 및 생산 지표 누그러져 … 그러나 고용 성장세 강력”,[속보] 연준 기준금리 75bp 인상해 225bp ~ 250bp로 상향,"美연준, 7월 '자이언트 스텝' 예고…9월 금리인상 향방 '사전안내' 없을 듯","호주 소비자물가 급등…6월 6.1% 상승, 2001년 이후 최고",美전문가들 1년내 경기침체 확률 55%…연준이 경기침체 유발할 것,IMF 수석 이코노미스트 美 경기침체 피하기 쉽지 않을 것,CME 페드워치 7월 기준금리 75bp 인상 가능성 75.1%…100bp 확률은 24.9%,美 상원의원 암호화폐 소액 거래 면세 법안 추진,"IMF, 세계성장률 3.2%로 석달새 0.4%p 하향…美, 이미 경기침체 시작"
11,규제/정책,"증권가 韓 경제, 하반기 성장세 둔화…올해 성장률 2%대 초중반 전망",'닥터둠' 루비니 美 경제 심각한 경기후퇴 직면…얕은 경기후퇴라는 생각은 망상,CME 페드워치 7월 기준금리 75bp 인상 가능성 77.5%…100bp 확률은 22.5%,옐런 美 경기침체 징후 없어…연준 인플레 대책 성공할 것,"美 텍사스 공화당, 주 헌법에 암호화폐 보유·사용권 명시 추진",CME 페드워치 7월 기준금리 75bp 인상 가능성 80.5%…FOMC 앞둔 연준 대세는 '자이언트 스텝',대만 신용카드 이용 암호화폐 구매 금지,달러 초강세에 신음하는 신흥시장…WSJ 부채규모 큰 나라들 '우려',CME 페드워치 7월 기준금리 75bp 인상 가능성 79.9%…대세는 '자이언트 스텝',전세계 물가 급등에 '빅스텝' 대세 됐다
12,규제/정책,"ECB, 11년만에 기준금리 0.5%P 깜짝 인상 VS 러, 年 8%로 1.5%포인트 추가 인하",韓 생산자물가 6개월째 올라…상승률은 둔화 추세,CME 페드워치 7월 기준금리 75bp 인상 가능성 72.7%…100bp 확률은 27.3%,인도네시아 ‘디지털 루피’ 개발 박차 … 연내 ‘개념적 디자인’ 공개,인도네시아 ‘디지털 루피’ 개발 박차 … 연내 ‘개념적 디자인’ 공개,"유럽중앙은행, 11년만에 기준금리 0.5%P 깜짝 인상…마이너스금리 탈피",[속보] ECB 기준금리 50bp 인상 … 11년만에 첫 금리 인상,[尹정부 세제] 가상자산 과세 2년간 유예…증권거래세 0.23→0.15%,CME 페드워치 7월 기준금리 75bp 인상 가능성 69.1%…100bp 확률은 30.9%,"영국, 6월 물가상승률 9.4%…금리 0.5%포인트 인상 전망"
13,산업/테크,"라인, 프로필에 ‘NFT’ 넣는다…카톡도 검토 중","와이어, 머니그램·스텔라 제공 암호화폐-현금 환전 서비스 도입…XLM 소폭 반등","JP모건, 테슬라 목표주가 '395달러→385달러'로 하향 조정…공장 가동 차질·인플레 압박","6월 NFT 거래량, 연초 대비 94% 급감…돈나무 언니 앞으로 NFT 매우 중요해질 것",[이모저모] 이더리움재단 세폴리아 테스트넷 PoS 통합 수일 내 완료 전망 外,더 샌드박스 폴리곤에 LAND 배치 준비 완료…가격 영향은 제한적,1억달러 해킹 당한 하모니 해커 자금세탁 움직임 추적 중…FBI 수사도 협력,"'이더리움 킬러' 솔라나, 웹3 기반 안드로이드 스마트폰 출시한다",한은 암호화폐 급락장에 투자자 손실 더 커질 수도..규제 필요,"카르다노, 바실 하드포크 연기 소식에도 5%대 강세…ADA, 사상최고가 대비 84% 급락"
14,산업/테크,"바오밥파트너즈, 메타버스 ‘넥스테라(NEXTERA)’ 2.0 리부트","폴리곤, '가스비 제로' 맞춤형 NFT 발행 지원…MATIC 1%대 반등",비탈릭 부테린 “비트코인 채굴금지에 반대”,블록체인 기업 헥슬란트 아기 유니콘 육성대상 선정–자금지원 등 정부가 인큐베이팅,구인난 美 구글·페북 직원 평균연봉 30만달러 육박,"[6월 2일 오전 간추린 뉴스] 메타 2인자 샌드버그, 사임 발표 外",솔라나(SOL) 네트워크 버그로 또 중단–메인넷 재가동후 서비스 단계적 재개,옵티미즘 네이티브토큰 OP 출시–기존 사용자들 대상 에어드랍,CME 페드워치 6월 기준금리 50bp 인상 가능성 97.9% 달해,'리플 경쟁자' 스텔라(XLM) 6%대 강세…왜?
15,산업/테크,"테더, 폴리곤에서 USDT 출시 … 폴리곤 디파이 생태계 지원",테라 생태계 속 프로젝트 이탈 잇따라…폴리곤 이전 논의 중인 프로젝트 50~60개,"태그호이어 CEO, '지루한 원숭이' NFT로 트위터 프사 설정",디파이 원조 유니스왑(UNI) 누적 거래량 1조달러 돌파,'테라 붕괴' 이후 디파이 TVL 감소세…시스템 위험 증폭 가능성 有,스테픈(GMT) 토큰·NFT 투자시 유의사항은–조재우 한성대 교수,"[프로젝트 현황] 테라네임서비스, UST 도메인 테라2.0으로 마이그레이션 예고 外",(종합)'테라 붕괴'에도 알고리즘 스테이블코인은 존재한다?…자유로운 스테이블코인 필요,"라이트코인, 밈블윔블 업그레이드 활성화…LTC 70달러 회복","'친환경 코인' 리플(XRP), 탄소 시장에 1억달러 투자…리투아니아 송금업체 FINCI와 제휴도"
16,산업/테크,전세계 블록체인 스타트업은 '호황'…역대 최대 자금조달 성공,‘아리조나 아이스티’ 가격과 연동되는 스테이블 코인 ‘USDTea’ 출시,"권도형, '테라 부활' 투표, 찬성 87.28% 압도적 우세","이더리움 공개 테스트넷 롭스텐(Ropsten), 6월 초 지분증명 합병 진행 예정","[5월 19일 오전 간추린 뉴스] 메타버스, 향후 10년간 세계 GDP에 2.8% 기여할 것 外","리플, 리투아니아 송금업체 FINCI와 파트너십…XRP는 암호화폐 급락장에 7%대↓","권도형 테라 리빌딩 제안 투표 진행 중…개미들 반발, 집단소송 제안도","테라 권도형 CEO, 새 블록체인 프로젝트 강행하나…'테라 2.0 거래소' 소개",중국 강력 단속에도 비트코인 채굴 세계 2위 재부상…VPN 이용 '몰래 채굴',테라 권도형 CEO의 하드포크 제안에 대다수 반대…루나·UST 앞날 '캄캄'
17,칼럼/인터뷰,[코인 빅데이터] 메인넷 PoS 병합 기대감↑…이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,"[코툰]비트코인, 증권 아니다","[코툰]셀시우스, 마운트곡스 데자뷰 되나",[코인 빅데이터] 하드포크 암호화폐…라이트코인(LTC) VS 이더리움클래식(ETC) 트렌드,[7월11일 뉴스리딩] 오늘은 비트코인 단기 상승할 가능성에 대해 알아봐요,비트코인 비판자 피터 쉬트 “BTC 받고 소유은행(유로퍼시픽뱅크) 팔겠다”,"[코툰]중동, 예상보다 빨리 비트코인 채택할 수 있다",[코툰]美 암호화폐 시장 선구자 지위 놓치고 있다,[코인 빅데이터] 대표 메타버스 암호화폐…디센트럴랜드(MANA) VS 더 샌드박스(SAND) 트렌드,"[코툰]암호화폐 붕괴, 규제 불균형 탓"
18,칼럼/인터뷰,"[코툰]암호화폐 붕괴, 규제 불균형 탓","[코툰]암호화폐 겨울, 내년 말 끝난다","[코인리더스] 6월29일, 오늘은 비트코인 약세장 지속 전망에 대해 알아봐요",[코툰]암호화폐 업계 피바다…자정 기회,[코인 빅데이터] 암호화폐 시장 폭락 촉발한 코인의 역습?…루나2 VS 테라USD 트렌드,"[코툰]비트코인, 인류 역사상 최대 규모의 폰지 사기",[코인 빅데이터] 위기의 스테이블코인…테더(USDT) VS 테라USD(UST) 트렌드,[6월27일 뉴스리딩] 오늘은 '살어음판 장세'가 거론되는 비트코인 전망에 대해 알아봐요,"[코툰]현물 비트코인 ETF 승인, 이번에도 어렵다?",[코툰]지금은 암호화폐 겨울 아닌 빙하기
19,칼럼/인터뷰,[코툰]'암호화폐 겨울' 논하긴 일러,[6월24일 뉴스리딩] 오늘은 '바닥론'이 거론되는 비트코인 가격 전망에 대해 알아봐요,[코툰]암호화폐 붕괴에서 생존하면…미래의 아마존 된다,[코인 빅데이터] 시총 7위 경쟁 재점화…리플(XRP) VS 카르다노(ADA) 트렌드,[코툰] 비트코인 급락 후 뉴비·리더 가리지 않고 '남탓' 중,[코인 빅데이터] '약세장 속 단기 랠리'…폴리곤(MATIC) VS 유니스왑(UNI) 트렌드,"[코툰]비트코인, 안전한 투자…인내심이 관건",[6월21일 뉴스리딩] 오늘은 비트코인 바닥 확인 가능성에 대해 알아봐요,[코툰] 비트코인 아직 바닥 안 나왔다,[코인 빅데이터] '약세장에서 선전하는 이더리움 경쟁자들'…솔라나(SOL) VS 폴카닷(DOT) 트렌드
20,칼럼/인터뷰,[코인 빅데이터] '인기 밈 암호화폐' 도지코인(DOGE) vs 시바이누(SHIB) 트렌드,[코툰] 비트코인 이젠 사도 될까?,일론 머스크 “도지코인 계속 지지하고 사겠다”,암호화폐 겨울의 전주곡…이토로의 '플라이 미 투 더 문',베리 실버트  “고통과 불확실성 속에서 비트코인 사자”–라울 팔 “나도 이더랑 다른 코인 산다”,[6월17일 뉴스리딩] 오늘은 '반토막' 난 알트코인 시가총액 근황을 알아봐요,[6월16일 뉴스리딩] 오늘은 비트코인 상승세가 언제쯤 시작될지 알아봐요,[코툰]비트코인 법정화폐 채택 '올바른 길',[6월16일 뉴스리딩] 오늘은 비트코인 상승세가 언제쯤 시작될지 알아봐요,"[코툰] 암호화폐, 사라지지 않아"
